stop_date,next_date,code,name,market,stop_type,prev_close,next_open,gap_yen,gap_pct,next_high,next_low,next_close,range_yen,range_pct,volume,yorazu,reason
2026-04-02,2026-04-03,4884,クリングル,東Ｇ,stop_high,514.0,532.0,18.0,3.5,601.0,495.0,511.0,-3.0,-0.58,9167400.0,False,慢性期脊髄損傷対象の新治療剤が特許登録されたと発表し1日ストップ高
2026-04-02,2026-04-03,6597,ＨＰＣシス,東Ｇ,stop_high,2098.0,2598.0,500.0,23.83,2598.0,2598.0,2598.0,500.0,23.83,47500.0,False,HPC用サーバー一式138億円の大口受注
2026-04-02,2026-04-03,7375,リファバスＧ,東Ｇ,stop_high,1618.0,1628.0,10.0,0.62,1881.0,1498.0,1530.0,-88.0,-5.44,8197000.0,False,
2026-04-02,2026-04-03,8289,オリンピック,東Ｓ,stop_high,637.0,622.0,-15.0,-2.35,634.0,606.0,619.0,-18.0,-2.83,534800.0,False,身売り準備に入ったとの月刊誌報道を引き続き材料視
2026-04-01,2026-04-02,2033,コスピブル,東EN,stop_high,50310.0,,,,,,,,,,True,
2026-04-01,2026-04-02,278A,テラドローン,東Ｇ,stop_high,4495.0,5030.0,535.0,11.9,5200.0,4630.0,4795.0,300.0,6.67,3536300.0,False,
2026-04-01,2026-04-02,3077,ホリイフード,東Ｓ,stop_high,760.0,753.0,-7.0,-0.92,861.0,730.0,861.0,101.0,13.29,340600.0,False,11月戻り高値更新で上値妙味
2026-04-01,2026-04-02,3294,イーグランド,東Ｓ,stop_high,2316.0,2816.0,500.0,21.59,2816.0,2816.0,2816.0,500.0,21.59,9300.0,False,西武不動産が4858円でTOB実施
2026-04-01,2026-04-02,3370,フジタコーポ,東Ｓ,stop_low,396.0,395.0,-1.0,-0.25,400.0,385.0,395.0,-1.0,-0.25,118100.0,False,東証が監理銘柄（確認中）に指定
2026-04-01,2026-04-02,3512,フエルト,東Ｓ,stop_high,1018.0,1000.0,-18.0,-1.77,1048.0,998.0,998.0,-20.0,-1.96,90800.0,False,DOE5パーセントが大量保有
2026-04-01,2026-04-02,3681,ブイキューブ,東Ｐ,stop_low,70.0,50.0,-20.0,-28.57,52.0,46.0,50.0,-20.0,-28.57,6126100.0,False,スクイーズアウトの想定対価40円にサヤ寄せ
2026-04-01,2026-04-02,4259,エクサＷｉｚ,東Ｇ,stop_high,661.0,731.0,70.0,10.59,732.0,648.0,655.0,-6.0,-0.91,5920300.0,False,
2026-04-01,2026-04-02,4316,ビーマップ,東Ｇ,stop_low,467.0,387.0,-80.0,-17.13,387.0,387.0,387.0,-80.0,-17.13,12500.0,False,
2026-04-01,2026-04-02,4565,ネクセラ,東Ｐ,stop_high,1015.0,1015.0,0.0,0.0,1043.0,985.0,1009.0,-6.0,-0.59,2458700.0,False,
2026-04-01,2026-04-02,4840,トライアイズ,東Ｓ,stop_high,788.0,803.0,15.0,1.9,835.0,741.0,820.0,32.0,4.06,818900.0,False,岩尾俊兵氏の大量保有が引き続き材料視される
2026-04-01,2026-04-02,485A,ＰｏｗｅｒＸ,東Ｇ,stop_high,5330.0,5320.0,-10.0,-0.19,5390.0,4995.0,5030.0,-300.0,-5.63,1907800.0,False,大型定置用蓄電システムで約53億円の大型受注
2026-04-01,2026-04-02,4884,クリングル,東Ｇ,stop_high,487.0,488.0,1.0,0.21,567.0,481.0,514.0,27.0,5.54,10119100.0,False,慢性期脊髄損傷対象の新治療剤が特許登録
2026-04-01,2026-04-02,6580,ライトアップ,東Ｇ,stop_high,1132.0,1132.0,0.0,0.0,1380.0,1111.0,1256.0,124.0,10.95,1254800.0,False,
2026-04-01,2026-04-02,7066,ピアズ,東Ｇ,stop_high,564.0,581.0,17.0,3.01,634.0,572.0,600.0,36.0,6.38,807200.0,False,
2026-04-01,2026-04-02,8289,オリンピック,東Ｓ,stop_high,537.0,587.0,50.0,9.31,637.0,570.0,637.0,100.0,18.62,3434100.0,False,身売り準備に入ったなどと一部月刊誌で伝わる
